0.767768e	0.569784e
0.769770e	0.569731e
0.771772e	0.569667e
0.773774e	0.569591e
0.775776e	0.569503e
0.777778e	0.569404e
0.779780e	0.569293e
0.781782e	0.569171e
0.783784e	0.569037e
0.785786e	0.568892e
0.787788e	0.568736e
0.789790e	0.568568e
0.791792e	0.568389e
0.793794e	0.568198e
0.795796e	0.567997e
0.797798e	0.567784e
0.799800e	0.567560e
0.801802e	0.567325e
0.803804e	0.567079e
0.805806e	0.566822e
0.807808e	0.566554e
0.809810e	0.566276e
0.811812e	0.565986e
0.813814e	0.565686e
0.815816e	0.565375e
0.817818e	0.565053e
0.819820e	0.564721e
0.821822e	0.564379e
0.823824e	0.564026e
0.825826e	0.563662e
0.827828e	0.563288e
0.829830e	0.562904e
0.831832e	0.562510e
0.833834e	0.562105e
0.835836e	0.561690e
0.837838e	0.561266e
0.839840e	0.560831e
0.841842e	0.560386e
0.843844e	0.559932e
0.845846e	0.559468e
0.847848e	0.558994e
0.849850e	0.558510e
0.851852e	0.558017e
0.853854e	0.557514e
0.855856e	0.557002e
0.857858e	0.556480e
0.859860e	0.555949e
0.861862e	0.555409e
0.863864e	0.554860e
0.865866e	0.554301e
0.867868e	0.553734e
0.869870e	0.553157e
0.871872e	0.552572e
0.873874e	0.551977e
0.875876e	0.551374e
0.877878e	0.550763e
0.879880e	0.550142e
0.881882e	0.549513e
0.883884e	0.548876e
0.885886e	0.548230e
0.887888e	0.547576e
0.889890e	0.546914e
0.891892e	0.546243e
0.893894e	0.545565e
0.895896e	0.544878e
0.897898e	0.544183e
0.899900e	0.543481e
0.901902e	0.542770e
0.903904e	0.542052e
0.905906e	0.541327e
0.907908e	0.540593e
0.909910e	0.539853e
0.911912e	0.539105e
0.913914e	0.538349e
0.915916e	0.537586e
0.917918e	0.536816e
0.919920e	0.536039e
0.921922e	0.535255e
0.923924e	0.534464e
0.925926e	0.533666e
0.927928e	0.532861e
0.929930e	0.532049e
0.931932e	0.531231e
0.933934e	0.530406e
0.935936e	0.529575e
0.937938e	0.528737e
0.939940e	0.527893e
0.941942e	0.527043e
0.943944e	0.526186e
0.945946e	0.525324e
0.947948e	0.524455e
0.949950e	0.523580e
0.951952e	0.522700e
0.953954e	0.521813e
0.955956e	0.520921e
0.957958e	0.520024e
0.959960e	0.519120e
0.961962e	0.518212e
0.963964e	0.517297e
0.965966e	0.516378e
0.967968e	0.515453e
0.969970e	0.514523e
0.971972e	0.513588e
0.973974e	0.512648e
0.975976e	0.511702e
0.977978e	0.510752e
0.979980e	0.509797e
0.981982e	0.508838e
0.983984e	0.507874e
0.985986e	0.506905e
0.987988e	0.505931e
0.989990e	0.504953e
0.991992e	0.503971e
0.993994e	0.502985e
0.995996e	0.501994e
0.997998e	0.500999e
1.000000e	0.500000e
