-0.843584e	-0.559991e
-0.843384e	-0.560037e
-0.843184e	-0.560083e
-0.842984e	-0.560128e
-0.842784e	-0.560174e
-0.842584e	-0.560219e
-0.842384e	-0.560264e
-0.842184e	-0.560309e
-0.841984e	-0.560354e
-0.841784e	-0.560399e
-0.841584e	-0.560444e
-0.841384e	-0.560489e
-0.841184e	-0.560534e
-0.840984e	-0.560578e
-0.840784e	-0.560623e
-0.840584e	-0.560667e
-0.840384e	-0.560711e
-0.840184e	-0.560755e
-0.839984e	-0.560799e
-0.839784e	-0.560843e
-0.839584e	-0.560887e
-0.839384e	-0.560931e
-0.839184e	-0.560975e
-0.838984e	-0.561018e
-0.838784e	-0.561062e
-0.838584e	-0.561105e
-0.838384e	-0.561148e
-0.838184e	-0.561191e
-0.837984e	-0.561234e
-0.837784e	-0.561277e
-0.837584e	-0.561320e
-0.837384e	-0.561363e
-0.837184e	-0.561406e
-0.836984e	-0.561448e
-0.836784e	-0.561491e
-0.836584e	-0.561533e
-0.836384e	-0.561575e
-0.836184e	-0.561617e
-0.835984e	-0.561659e
-0.835784e	-0.561701e
-0.835584e	-0.561743e
-0.835384e	-0.561785e
-0.835184e	-0.561827e
-0.834983e	-0.561868e
-0.834783e	-0.561910e
-0.834583e	-0.561951e
-0.834383e	-0.561992e
-0.834183e	-0.562033e
-0.833983e	-0.562074e
-0.833783e	-0.562115e
-0.833583e	-0.562156e
-0.833383e	-0.562197e
-0.833183e	-0.562238e
-0.832983e	-0.562278e
-0.832783e	-0.562319e
-0.832583e	-0.562359e
-0.832383e	-0.562399e
-0.832183e	-0.562439e
-0.831983e	-0.562479e
-0.831783e	-0.562519e
-0.831583e	-0.562559e
-0.831383e	-0.562599e
-0.831183e	-0.562639e
-0.830983e	-0.562678e
-0.830783e	-0.562718e
-0.830583e	-0.562757e
-0.830383e	-0.562796e
-0.830183e	-0.562835e
-0.829983e	-0.562874e
-0.829783e	-0.562913e
-0.829583e	-0.562952e
-0.829383e	-0.562991e
-0.829183e	-0.563029e
-0.828983e	-0.563068e
-0.828783e	-0.563106e
-0.828583e	-0.563145e
-0.828383e	-0.563183e
-0.828183e	-0.563221e
-0.827983e	-0.563259e
-0.827783e	-0.563297e
-0.827583e	-0.563335e
-0.827383e	-0.563372e
-0.827183e	-0.563410e
-0.826983e	-0.563447e
-0.826783e	-0.563485e
-0.826583e	-0.563522e
-0.826383e	-0.563559e
-0.826183e	-0.563596e
-0.825983e	-0.563633e
-0.825783e	-0.563670e
-0.825583e	-0.563707e
-0.825383e	-0.563743e
-0.825183e	-0.563780e
-0.824982e	-0.563816e
-0.824782e	-0.563853e
-0.824582e	-0.563889e
-0.824382e	-0.563925e
-0.824182e	-0.563961e
-0.823982e	-0.563997e
-0.823782e	-0.564033e
-0.823582e	-0.564069e
-0.823382e	-0.564104e
-0.823182e	-0.564140e
-0.822982e	-0.564175e
-0.822782e	-0.564211e
-0.822582e	-0.564246e
-0.822382e	-0.564281e
-0.822182e	-0.564316e
-0.821982e	-0.564351e
-0.821782e	-0.564386e
-0.821582e	-0.564420e
-0.821382e	-0.564455e
-0.821182e	-0.564489e
-0.820982e	-0.564524e
-0.820782e	-0.564558e
-0.820582e	-0.564592e
-0.820382e	-0.564626e
-0.820182e	-0.564660e
-0.819982e	-0.564694e
-0.819782e	-0.564728e
-0.819582e	-0.564761e
-0.819382e	-0.564795e
